CaseNum,Status_Short,Date,Status,Generated_at,Desc
2090000068,8-Rejected,2019-10-01,Rejected-Improperly Filed,20210416-120746,"On October 1, 2019, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090000068, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2090000071,8-Rejected,2019-10-01,Rejected-Improperly Filed,20210416-120746,"On October 1, 2019, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090000071, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2090000485,8-Rejected,2019-10-01,Rejected-Improperly Filed,20210416-120746,"On October 1, 2019, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090000485, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2090000517,3-Interview,2021-08-17,Interview Was Cancelled,20210818-064936,"On August 17, 2021, we cancelled your interview for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090000517, and mailed you a cancellation notice.  We will notify you by mail if the appointment is rescheduled, a decision is made, or if we need something from you.  Please follow any instructions in the notice.  If you do not receive your notice by September 16, 2021, please go to www.uscis.gov/e-request  to request a copy of the notice.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2090000523,3-Interview,2021-08-17,Interview Was Cancelled,20210818-064936,"On August 17, 2021, we cancelled your interview for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090000523, and mailed you a cancellation notice.  We will notify you by mail if the appointment is rescheduled, a decision is made, or if we need something from you.  Please follow any instructions in the notice.  If you do not receive your notice by September 16, 2021, please go to www.uscis.gov/e-request  to request a copy of the notice.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2090000557,1-Fingerprint-taken,2019-11-22,Fingerprints Taken,20210416-120746,"As of November 22, 2019, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090000557, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2090000785,8-Rejected,2019-10-01,Rejected-Improperly Filed,20210416-120746,"On October 1, 2019, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090000785, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2090001183,2z-Misc,2020-07-15,Fee Will Be Refunded,20210416-120746,"On July 15, 2020, USCIS made the decision to refund the fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090001183.  Your refund will be mailed to the fee remitter on file. This refund does not affect the processing or location of your case.  If you do not receive your refund by October 13, 2020, please call the Burlington Finance Center at 1-802-288-7600. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2090001505,2z-Misc,2022-01-26,Fee Will Be Refunded,20220127-045402,"On January 26, 2022, USCIS made the decision to refund the fee for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090001505.  Your refund will be mailed to the fee remitter on file. This refund does not affect the processing or location of your case.  If you do not receive your refund by April 26, 2022, please call the Burlington Finance Center at 1-802-288-7600. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
2090001508,2a-RFE,2022-02-10,RFE Sent,20220211-060825,"On February 10, 2022, we sent a request for initial evidence for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090001508.  The request for evidence explains what we need from you.  We will not take action on your case until we receive the evidence or the deadline to submit it expires. Please follow the instructions in the request for evidence.  If you do not receive your request for evidence by February 25, 2022, please go to www.uscis.gov/e-request  to request a copy of the notice.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
2090001779,1-Fingerprint-taken,2019-12-13,Fingerprints Taken,20210416-120746,"As of December 13, 2019, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC2090001779, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
