CaseNum,Status_Short,Date,Status,Generated_at,Desc
1990001522,1-Fingerprint-taken,"August 30, 2019",Fingerprints Taken,20210501-235805,"As of August 30, 2019, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001522, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990001528,4-Approved,"July 1, 2019",Card Was Mailed To Me,20210501-235805,"On July 1, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001528, to the address you gave us.  If you do not receive your card by July 16, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990001531,1-Fingerprint-taken,"August 30, 2019",Fingerprints Taken,20210501-235805,"As of August 30, 2019, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001531, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990001960,2a-RFE,"May 14, 2020",RFE Responded,20210501-235805,"On May 14, 2020, we received your response to our Request for Evidence for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001960.  USCIS has begun working on your case again.  We will send you a decision or notify you if we need something from you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990001982,0-Received,"March 12, 2021",Case Was Transferred,20210501-235805,"On March 12, 2021, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001982, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by April 11, 2021, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990001982,3-Interview,"September 23, 2021",Interview Was Completed,20210923-094126,"Your interview for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001982, was completed, and your case must be reviewed. We will mail you a notice if we make a decision or take further action. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990002163,8-Rejected,"October 1, 2018",Rejected-Old Version,20210501-235805,"On October 1, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990002163, because you used an old version of the form that we no longer accept.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990002289,0-Received,"November 1, 2018",Case Was Transferred,20210501-235805,"On November 1, 2018, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990002289, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by December 1, 2018, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990002319,8-Rejected,"October 2, 2018",Rejected-Old Version,20210501-235805,"On October 2, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990002319, because you used an old version of the form that we no longer accept.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990003808,4-Approved,"July 16, 2019",Card Was Mailed To Me,20210501-235805,"On July 16, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990003808, to the address you gave us.  If you do not receive your card by July 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990003811,4-Approved,"July 16, 2019",Card Was Mailed To Me,20210501-235805,"On July 16, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990003811, to the address you gave us.  If you do not receive your card by July 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990004430,0-Received,"October 30, 2018",Case Was Transferred,20210501-235805,"On October 30, 2018, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990004430, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by November 29, 2018, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990004430,2a-RFE,"November 4, 2021",RFE Sent,20211104-190409,"On November 4, 2021, we sent a request for additional evidence for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990004430.  The request for evidence explains what we need from you.  We will not take action on your case until we receive the evidence or the deadline to submit it expires. Please follow the instructions in the request for evidence.  If you do not receive your request for additional evidence by November 19, 2021, please go to www.uscis.gov/e-request  to request a copy.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990004430,2a-RFE,"December 8, 2021",RFE Responded,20211209-071448,"On December 8, 2021, we received your response to our Request for Evidence for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990004430.  USCIS has begun working on your case again.  We will send you a decision or notify you if we need something from you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990004430,4-Approved,"January 19, 2022",New Card Is Being Produced,20220120-092246,"On January 19, 2022, we ordered your new card for Receipt Number WAC1990004430, and will mail it to the address you gave us. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990004430,4-Approved,"January 20, 2022",Case Was Approved,20220121-101013,"On January 20, 2022, we approved your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990004430.  We sent you an approval notice.  Please follow the instructions in the notice. If you do not receive your approval notice by February 4, 2022, please go to www.uscis.gov/e-request.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address.  "
