CaseNum,Status_Short,Date,Status,Generated_at,Desc
1990001522,1-Fingerprint-taken,2019-08-30,Fingerprints Taken,20210501-235805,"As of August 30, 2019, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001522, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990001528,4-Approved,2019-07-01,Card Was Mailed To Me,20210501-235805,"On July 1, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001528, to the address you gave us.  If you do not receive your card by July 16, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990001531,1-Fingerprint-taken,2019-08-30,Fingerprints Taken,20210501-235805,"As of August 30, 2019, fingerprints relating to your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001531, have been applied to your case.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990001960,2a-RFE,2020-05-14,RFE Responded,20210501-235805,"On May 14, 2020, we received your response to our Request for Evidence for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001960.  USCIS has begun working on your case again.  We will send you a decision or notify you if we need something from you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990001982,3-Interview,2021-09-23,Interview Was Completed,20210923-094126,"Your interview for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990001982, was completed, and your case must be reviewed. We will mail you a notice if we make a decision or take further action. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990002163,8-Rejected,2018-10-01,Rejected-Old Version,20210501-235805,"On October 1, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990002163, because you used an old version of the form that we no longer accept.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990002289,0-Received,2018-11-01,Case Was Transferred,20210501-235805,"On November 1, 2018, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990002289, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by December 1, 2018, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990002319,8-Rejected,2018-10-02,Rejected-Old Version,20210501-235805,"On October 2, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990002319, because you used an old version of the form that we no longer accept.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990003808,4-Approved,2019-07-16,Card Was Mailed To Me,20210501-235805,"On July 16, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990003808, to the address you gave us.  If you do not receive your card by July 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990003811,4-Approved,2019-07-16,Card Was Mailed To Me,20210501-235805,"On July 16, 2019, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990003811, to the address you gave us.  If you do not receive your card by July 31, 2019, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990004430,4-Approved,2022-01-26,Card Was Delivered,20220127-045402,"On January 26, 2022, the Post Office delivered your new card for Receipt Number WAC1990004430, to the address that you gave us.  The tracking number assigned is 9205590153708617289346.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990005760,2c-UpdateInfo,2021-12-28,Name Was Updated,20211229-072130,"On December 28, 2021, we updated your name for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990005760. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990006179,4-Approved,2021-07-29,Card Was Delivered,20210730-073332,"On July 29, 2021, the Post Office delivered your new card for Receipt Number WAC1990006179, to the address that you gave us.  The tracking number assigned is 9205590153708609658969.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990006200,8-Rejected,2018-10-03,Rejected-Improperly Filed,20210501-235805,"On October 3, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990006200, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990006205,8-Rejected,2018-10-03,Rejected-Incorrect Fee,20210501-235805,"On October 3, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990006205, because you sent us the incorrect fee.  We mailed your case back to you, including any supporting materials and the incorrect payment.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990008033,0-Received,2018-10-31,Case Was Transferred,20210501-235805,"On October 31, 2018, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990008033, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by November 30, 2018, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990008036,0-Received,2018-10-31,Case Was Transferred,20210501-235805,"On October 31, 2018, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990008036, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by November 30, 2018, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990008039,4-Approved,2021-09-22,Card Was Delivered,20210923-094126,"On September 22, 2021, the Post Office delivered your new card for Receipt Number WAC1990008039, to the address that you gave us.  The tracking number assigned is 9205590153708612196472.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990009751,8-Rejected,2018-10-05,Rejected-Old Version,20210501-235805,"On October 5, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990009751, because you used an old version of the form that we no longer accept.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990009809,4-Approved,2021-08-18,Card Was Delivered,20210819-054405,"On August 18, 2021, the Post Office delivered your new card for Receipt Number WAC1990009809, to the address that you gave us.  The tracking number assigned is 9205590153708610510966.  You can use your tracking number at www.USPS.com in the Quick Tools Tracking section.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990009927,8-Rejected,2018-10-08,Rejected-Improperly Filed,20210501-235805,"On October 8, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990009927, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990010929,0-Received,2018-10-31,Case Was Transferred,20210501-235805,"On October 31, 2018, we transferred your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990010929, to another USCIS office. That office now has jurisdiction over your case. We sent you a notice that explains why we moved your case. Please follow the instructions in the notice. If you do not receive your notice by November 30, 2018, please go to www.uscis.gov/e-request to request a copy of the notice. If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990011913,8-Rejected,2018-10-09,Rejected-Old Version,20210501-235805,"On October 9, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990011913, because you used an old version of the form that we no longer accept.  We mailed your case back to you, including any supporting materials and the payment.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990012274,4-Approved,2020-08-28,Card Was Mailed To Me,20210501-235805,"On August 28, 2020, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990012274, to the address you gave us.  If you do not receive your card by September 12, 2020, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990012277,4-Approved,2020-08-28,Card Was Mailed To Me,20210501-235805,"On August 28, 2020, we mailed your new card for your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990012277, to the address you gave us.  If you do not receive your card by September 12, 2020, please go to www.uscis.gov/e-request  to request that we send your new card to you.  If you move, go to www.uscis.gov/addresschange  to give us your new mailing address."
1990012360,8-Rejected,2018-10-09,Rejected-Improperly Filed,20210501-235805,"On October 9, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990012360, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
1990012363,8-Rejected,2018-10-09,Rejected-Improperly Filed,20210501-235805,"On October 9, 2018, we rejected your Form I-485, Application to Register Permanent Residence or Adjust Status, Receipt Number WAC1990012363, because it was not filed correctly.  We mailed your case back to you, including any supporting materials and fee.  Please follow the instructions to resubmit your case.  If you have any questions, contact the USCIS Contact Center at www.uscis.gov/contactcenter.  If you move, go to www.uscis.gov/addresschange to give us your new mailing address."
